Solution,Bluefish-FD-XI-TD,Eman_5.40_fad_12,SugaR.AI.ICCF.1.00,ShashChess15.1,Bluefish-12-W,Crystal-2020-06-29,Bluefish-XI,CorChess v6,Houdidi_6.03_tac_1,Stockfish_2020-07-19, ShashChess 12.1,Stockfish_20121407,Eman 6.61,Stockfish_20062710,SugaR.AI.1.00,Stockfish 11,Honey-XI,Stockfish 10,Crystal 2020-05-02,Black-Diamond-XI,Black-Diamond-XR7,Black-Diamond-XI-r2,Crystal 1.1,Stockfish 9,McCain-v2,Houdidi_6.03_tac_def,Sting-SF-16,Sting-SF-20,Ethereal 12.25,Houdini 1.5 x64,Critter 1.6a 64bit,Stockfish 8,Xiphos 0.6,Ethereal 11.75,Stockfish 7,Bluefish-FD-XI-DC,Lc0 v0.26.3 s1,NumEngSolvedCount,MeanTimeSec
 66) .. e5-e4    ,243.0,98.0,425.0,,56.0,1.0,145.0,3.0,124.0,180.0,174.0,584.0,,132.0,,71.0,33.0,699.0,815.0,1125.0,,,1734.0,44.0,,159.0,25.0,66.0,,,,,,,,6.0,,23,302.0
 59) Ne3-f5      ,1406.0,1612.0,,545.0,166.0,,,130.0,60.0,83.0,942.0,122.0,1441.0,604.0,231.0,1053.0,,269.0,,,,,,,167.0,344.0,,53.0,1001.0,2.0,96.0,,583.0,790.0,,24.0,,23,510.0
182) Ng3-h5      ,2.0,114.0,16.0,609.0,3.0,228.0,3.0,1530.0,318.0,,767.0,119.0,594.0,992.0,6.0,1378.0,596.0,1213.0,,,1453.0,,1572.0,1682.0,365.0,1789.0,,,,,,,,,,28.0,2.0,23,669.0
140) Be3-d4      ,0.0,0.0,17.0,605.0,,176.0,90.0,0.0,,0.0,0.0,0.0,9.0,0.0,0.0,174.0,0.0,0.0,29.0,,,,,,,,0.0,0.0,0.0,,1047.0,,,,,26.0,10.0,22,99.0
178) Bc1-g5      ,534.0,40.0,17.0,4.0,5.0,70.0,294.0,649.0,458.0,22.0,47.0,4.0,3.0,0.0,5.0,48.0,154.0,142.0,,,,,,,0.0,,,,,,,481.0,97.0,,,248.0,0.0,22,151.0
123) Ke5-f6      ,,6.0,166.0,1.0,26.0,28.0,189.0,,325.0,1514.0,8.0,48.0,630.0,145.0,386.0,121.0,,84.0,498.0,,,,,100.0,1583.0,286.0,164.0,81.0,,,,,,,,52.0,,22,293.0
  2) Qf3xf6      ,8.0,655.0,158.0,60.0,105.0,24.0,,,213.0,,,,,,1110.0,,,288.0,27.0,804.0,415.0,900.0,272.0,295.0,927.0,73.0,,,,569.0,175.0,991.0,,,1400.0,3.0,,22,431.0
 36) Kd2-c1      ,113.0,264.0,384.0,100.0,154.0,38.0,537.0,471.0,,76.0,633.0,245.0,21.0,,34.0,858.0,1377.0,1324.0,1376.0,1188.0,288.0,32.0,132.0,,,,,,,,,,,,,14.0,,22,439.0
 44) g3-g4       ,1002.0,389.0,10.0,6.0,3.0,375.0,4.0,78.0,,5.0,333.0,23.0,8.0,131.0,3.0,110.0,368.0,1239.0,,,,,1391.0,1203.0,1696.0,,,,,,,1794.0,,,,110.0,1.0,22,467.0
 79) Bd3xg6      ,28.0,14.0,13.0,8.0,0.0,,27.0,1603.0,0.0,2.0,,0.0,0.0,36.0,0.0,63.0,181.0,208.0,,,,,,513.0,11.0,,,,,,,,143.0,1.0,,47.0,14.0,21,138.0
114) Ne5xd3      ,887.0,114.0,,82.0,229.0,,100.0,118.0,,151.0,15.0,24.0,59.0,85.0,39.0,119.0,,124.0,,,,,,303.0,,375.0,191.0,2.0,75.0,,,,,27.0,,288.0,0.0,21,162.0
 24) Rc1xc3      ,240.0,18.0,55.0,24.0,2.0,,72.0,1689.0,102.0,266.0,667.0,13.0,176.0,133.0,8.0,143.0,492.0,735.0,,,,,,,275.0,,,,,,,,253.0,600.0,,24.0,,21,285.0
 87) c7-c8N      ,1778.0,796.0,2.0,16.0,,8.0,1300.0,252.0,15.0,,97.0,631.0,,402.0,278.0,213.0,144.0,,1.0,3.0,9.0,3.0,3.0,,,,349.0,,,,,,,,,1.0,,21,300.0
 65) .. Ba6-c8   ,29.0,112.0,,208.0,,73.0,1195.0,160.0,41.0,822.0,,88.0,632.0,189.0,275.0,,1079.0,1138.0,224.0,280.0,129.0,350.0,,194.0,1372.0,,,,,,,,,,,5.0,0.0,21,409.0
200) Bg3-f4      ,47.0,,14.0,168.0,145.0,949.0,1183.0,,58.0,1057.0,,887.0,,,,,,1511.0,11.0,47.0,32.0,360.0,29.0,685.0,,,,,,18.0,27.0,856.0,582.0,,,3.0,1.0,21,413.0
164) .. Bb4xa3(?),,465.0,149.0,419.0,342.0,,,1174.0,684.0,,1736.0,95.0,381.0,,166.0,,,,380.0,648.0,603.0,,162.0,356.0,,265.0,,,108.0,,,176.0,,721.0,402.0,199.0,31.0,21,459.0
196) Nc3-d5      ,96.0,199.0,1561.0,188.0,101.0,795.0,164.0,813.0,57.0,,533.0,151.0,,,155.0,66.0,,598.0,1235.0,,990.0,,,,1708.0,1401.0,,,280.0,,,,,1619.0,,4.0,,21,605.0
103) Qa3-h3      ,80.0,753.0,5.0,5.0,,2.0,,905.0,251.0,,8.0,,53.0,,,,1657.0,1185.0,4.0,3.0,0.0,5.0,9.0,,,38.0,56.0,111.0,,,,,,,,3.0,,20,257.0
135) Bd8-c7      ,,12.0,2.0,11.0,4.0,1.0,,540.0,,1159.0,164.0,,235.0,,,962.0,,,3.0,3.0,2.0,1.0,2.0,347.0,19.0,,97.0,1367.0,,,856.0,,,,,,,20,289.0
 27) Re3-e8      ,0.0,132.0,0.0,1.0,49.0,0.0,247.0,628.0,,,174.0,597.0,234.0,,138.0,,,,8.0,1093.0,,,,,1479.0,,14.0,9.0,,1127.0,198.0,,,,,0.0,20.0,20,306.0
155) Bd3-g6      ,41.0,41.0,109.0,57.0,36.0,,16.0,,72.0,7.0,877.0,53.0,120.0,1427.0,160.0,1210.0,,,,678.0,618.0,,538.0,318.0,,,,1762.0,,,,,,,,2.0,0.0,20,407.0
  1) Ne7-c6      ,13.0,409.0,,191.0,,149.0,479.0,450.0,300.0,,19.0,1349.0,191.0,1016.0,,130.0,,1174.0,536.0,,,,,717.0,,1177.0,,251.0,935.0,,,,,1686.0,,1.0,1.0,20,559.0
 53) Bg5-f4      ,,,102.0,0.0,219.0,3.0,,72.0,255.0,,3.0,,,833.0,,,,,14.0,20.0,42.0,12.0,266.0,,,21.0,6.0,1.0,,3.0,41.0,,,,,2.0,,19,101.0
 28) Ra4-a2      ,66.0,195.0,0.0,,185.0,,,,178.0,2.0,,181.0,243.0,,44.0,351.0,,778.0,,278.0,286.0,,137.0,,,149.0,,,219.0,,19.0,,76.0,,,3.0,9.0,19,178.0
179) .. Rd8xd4   ,0.0,23.0,,,,,0.0,150.0,327.0,,,557.0,,33.0,,46.0,78.0,39.0,,,1596.0,245.0,,736.0,39.0,,,,104.0,0.0,0.0,,,,145.0,0.0,,19,217.0
 34) f5-f6       ,541.0,,58.0,127.0,107.0,56.0,110.0,1450.0,98.0,437.0,122.0,,1019.0,,,,425.0,,80.0,,,,,1347.0,972.0,190.0,79.0,129.0,,,,,,,,46.0,,19,389.0
 20) a4-a5       ,82.0,1056.0,46.0,1001.0,25.0,,446.0,340.0,,71.0,,165.0,29.0,930.0,313.0,1101.0,1070.0,,,1728.0,,,,,,502.0,0.0,0.0,,,,,,,,8.0,0.0,19,469.0
181) h2-h4       ,5.0,87.0,,33.0,5.0,194.0,6.0,480.0,,19.0,15.0,16.0,2.0,1028.0,8.0,793.0,,,,609.0,496.0,,,,,,,,,,,,105.0,,,0.0,1.0,18,217.0
125) Ne3-g2      ,,,35.0,3.0,11.0,5.0,,,1093.0,227.0,,3.0,3.0,0.0,3.0,,42.0,1421.0,,,,,87.0,85.0,,4.0,23.0,190.0,,,,,1500.0,,,,94.0,18,263.0
 83) d4-d5       ,,120.0,,,,,11.0,156.0,213.0,274.0,281.0,,,291.0,,,,666.0,,1003.0,851.0,,,321.0,605.0,80.0,3.0,76.0,,,,900.0,,,764.0,34.0,,18,369.0
116) Nf4-d3      ,,461.0,,,,,,93.0,,,,,,240.0,1037.0,420.0,138.0,518.0,,,242.0,175.0,,1740.0,64.0,389.0,0.0,0.0,125.0,725.0,464.0,,,,,66.0,0.0,18,383.0
169) Bd3xh7      ,103.0,355.0,3.0,76.0,518.0,688.0,649.0,,326.0,,,,374.0,,,,,,108.0,108.0,,,,1245.0,1028.0,,,,655.0,271.0,258.0,,364.0,,,6.0,,18,396.0
156) f4-f5       ,22.0,40.0,,,393.0,686.0,2.0,226.0,,,,437.0,,,1081.0,129.0,3.0,1760.0,,,315.0,,1161.0,,551.0,164.0,,,902.0,,,767.0,,,,3.0,,18,480.0
117) .. Rc5-b5(?),381.0,1096.0,,,,597.0,1698.0,21.0,,,,,,664.0,,,781.0,510.0,,,,178.0,,303.0,57.0,936.0,0.0,0.0,65.0,,,1209.0,,743.0,,111.0,0.0,18,519.0
 15) h2-h4       ,,401.0,,,347.0,24.0,,157.0,,,290.0,508.0,1659.0,180.0,1126.0,577.0,95.0,1791.0,,233.0,82.0,33.0,40.0,,,838.0,,,,,,,,1506.0,,,0.0,18,549.0
 43) Ne5-g6      ,105.0,41.0,1342.0,293.0,1125.0,854.0,35.0,92.0,1453.0,1616.0,72.0,771.0,,432.0,,196.0,243.0,,,,,,,623.0,1644.0,,,,,,,,,,,0.0,,18,608.0
 13) .. Nb6-c4   ,29.0,232.0,,352.0,799.0,,116.0,1184.0,202.0,291.0,90.0,180.0,314.0,86.0,,1614.0,339.0,,,,,,,1716.0,469.0,,,,,,,,,,,2.0,0.0,17,471.0
176) d5-d6       ,,,216.0,48.0,273.0,,,139.0,,,1421.0,61.0,21.0,247.0,17.0,362.0,907.0,1134.0,,,,,,,1326.0,,0.0,1764.0,,0.0,,132.0,,,,,6.0,17,475.0
 90) Bd6-f8      ,,58.0,100.0,,,317.0,,,226.0,,862.0,534.0,0.0,,132.0,,,,,24.0,88.0,,2.0,,,1062.0,12.0,11.0,,6.0,20.0,,,,,,,16,216.0
 54) Bc2-a4      ,278.0,,11.0,,,71.0,,,337.0,0.0,,,215.0,,,,,,24.0,1382.0,15.0,411.0,326.0,,,772.0,0.0,0.0,,,1.0,,,,,16.0,,16,241.0
133) Bh5-f3      ,1319.0,190.0,95.0,161.0,74.0,1356.0,,,157.0,38.0,,18.0,34.0,102.0,21.0,,,1682.0,,,,,,630.0,,,,430.0,,,,,,,,24.0,,16,396.0
 76) .. Rh7xh4   ,0.0,34.0,,,,15.0,56.0,93.0,34.0,,608.0,,,37.0,,,213.0,,,,,119.0,60.0,,,31.0,0.0,0.0,,,,,,,,0.0,,15,87.0
101) Kh4-h5      ,1.0,8.0,,,48.0,,51.0,1.0,,494.0,,,7.0,,534.0,9.0,0.0,,,,939.0,,,,16.0,,61.0,312.0,,,,,,,,0.0,27.0,15,165.0
 73) .. e6-e5    ,0.0,364.0,2.0,471.0,83.0,,7.0,253.0,,100.0,1746.0,13.0,14.0,,510.0,562.0,8.0,,,,,,,,,,,,,,,,,,,0.0,0.0,15,276.0
105) Ne7-c8      ,,209.0,0.0,50.0,1124.0,20.0,,,364.0,497.0,86.0,1640.0,1112.0,531.0,528.0,,,,,,,,,,,,0.0,0.0,105.0,,,,,,,,,15,418.0
158) Na3-b5      ,3.0,1475.0,21.0,1103.0,545.0,,6.0,79.0,170.0,742.0,,1195.0,744.0,426.0,,,22.0,,,,,128.0,,,,,,,,,,,,,,0.0,1.0,15,444.0
  8) Rd4-d6      ,111.0,311.0,9.0,440.0,958.0,49.0,,,166.0,1699.0,939.0,,,,,,,,,682.0,,900.0,1053.0,,,481.0,,,,1374.0,,,,,,48.0,,15,615.0
170) Qf3-f6      ,1223.0,475.0,,,,787.0,,,,,450.0,,,1002.0,,38.0,,,91.0,102.0,515.0,540.0,463.0,,,,,,,1792.0,,1218.0,1128.0,,,108.0,25.0,15,662.0
 11) g2-g4       ,519.0,3.0,,2.0,16.0,16.0,1587.0,,,,,27.0,7.0,265.0,16.0,196.0,,,,109.0,,238.0,,,,,,,,,,,,,,5.0,,14,215.0
138) Qh4-d4      ,,14.0,0.0,46.0,,,1384.0,0.0,,,152.0,36.0,813.0,58.0,1186.0,,0.0,,,,,,,1.0,,,,276.0,,,,,0.0,,,,,14,283.0
 97) .. Qh5-f5   ,44.0,816.0,21.0,899.0,709.0,,611.0,1498.0,170.0,12.0,,,55.0,461.0,1041.0,,721.0,,,,,,,,,,,,,,,,,,,18.0,0.0,14,505.0
 21) .. Rb8xb3   ,0.0,,0.0,,,2.0,,,,1.0,,,380.0,,,,,,9.0,0.0,2.0,0.0,0.0,,,,40.0,16.0,,,,,,,,0.0,,13,35.0
141) Ra3-c3      ,142.0,,59.0,111.0,,24.0,,,20.0,,18.0,,,,,,,,10.0,157.0,136.0,314.0,,,,,408.0,,,19.0,24.0,,,,,,,13,111.0
195) .. Rh6xh2   ,,,10.0,27.0,,46.0,,,,87.0,6.0,262.0,1162.0,,,,,,7.0,23.0,54.0,37.0,1264.0,,,,,,,,,,,,,87.0,,13,236.0
209) Bc1-d2      ,3.0,401.0,4.0,202.0,75.0,,65.0,663.0,,9.0,,91.0,143.0,1249.0,327.0,,,,,,,,,,,,,,,,,,,,,1.0,6.0,13,249.0
 19) Ng3-f5      ,129.0,358.0,487.0,1414.0,,568.0,162.0,,191.0,,,,,1454.0,,,,,,,,,,457.0,,1750.0,,,,1078.0,545.0,,,,,10.0,,13,662.0
108) Be2-h5      ,91.0,,22.0,71.0,,289.0,,,,,1222.0,,,,,,,,,169.0,545.0,178.0,59.0,,,,147.0,410.0,,,,,,,,6.0,,12,267.0
 14) Qf4-f6      ,827.0,,0.0,236.0,1116.0,230.0,959.0,,196.0,0.0,257.0,,970.0,,,,,,107.0,,,,,,,,,,,,,,,,,51.0,0.0,12,412.0
113) Ng4-f6      ,1397.0,,8.0,,,184.0,,,,,,,,,,,,,57.0,49.0,1201.0,764.0,1762.0,,,,105.0,,,695.0,186.0,,,,,187.0,,12,550.0
126) Nd4-c6      ,73.0,43.0,880.0,1280.0,,,967.0,960.0,,423.0,,927.0,,,,,,,,,,641.0,,,,,,18.0,,,1623.0,,,,,4.0,,12,653.0
 58) Ng5xf7      ,608.0,,0.0,1.0,,,48.0,,13.0,1417.0,164.0,,,,,,,,,,,,,,,234.0,0.0,20.0,,,,,,,,5.0,0.0,11,228.0
208) Bd3xh7      ,125.0,,175.0,185.0,106.0,,2.0,,635.0,425.0,,306.0,549.0,,87.0,,,,,,,,,,,,,,,,,,,,,8.0,0.0,11,237.0
  3) Nb8-c6      ,921.0,,680.0,,,202.0,,,,,493.0,,718.0,718.0,,,,,688.0,947.0,,,89.0,,,,0.0,148.0,,,,,,,,,,11,509.0
 39) .. Rd6-f6   ,20.0,636.0,,,,722.0,188.0,925.0,,,,,,40.0,,889.0,,1186.0,,,,,,,,,1370.0,,,,,,199.0,,,19.0,,11,563.0
 51) b4-b5       ,,,,344.0,94.0,,,,,900.0,,127.0,315.0,,325.0,,,,,,,,,,,,,2.0,,0.0,0.0,,,,,48.0,2.0,10,216.0
177) Nf3-h4      ,11.0,,77.0,,,656.0,1013.0,,,,,,,,,,,,318.0,663.0,954.0,600.0,719.0,,,,,,,,,,,,,2.0,66.0,10,501.0
 80) Bh6-g5      ,,,6.0,1.0,30.0,,,,,64.0,,10.0,9.0,,8.0,,,,,,,,,,,,,,,,,,,84.0,,231.0,,9,49.0
 95) Kg2-f3      ,,,,,,,668.0,58.0,381.0,,,,,,,1223.0,647.0,570.0,,,,,,,23.0,,0.0,0.0,,,,,,,,,0.0,9,397.0
144) Bg5-f6      ,60.0,,,,739.0,,1143.0,770.0,,,,,,,,,,892.0,,,,,,156.0,461.0,,,,,,,,,,326.0,21.0,,9,508.0
 99) .. Qd3xg3   ,47.0,,,,1736.0,,,,492.0,,,,1559.0,,1692.0,,,,,,,,,1043.0,,,0.0,0.0,,,,,,,,4.0,0.0,9,730.0
150) Bd4-f6      ,349.0,,,,991.0,,754.0,1374.0,,,,1008.0,1779.0,917.0,1518.0,,,,,,,,,,,,,,,,,,,,,10.0,1.0,9,967.0
 93) Nc6xe7      ,,11.0,57.0,,,,,,,,,23.0,,,,,,,,,,,,,,,49.0,67.0,,,,0.0,,,25.0,195.0,,8,53.0
 69) Re8xe5      ,2.0,,,,,,,,152.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,666.0,,,104.0,,,0.0,2.0,8,116.0
 89) .. Re2xd2   ,127.0,,,,,,,,5.0,672.0,,,,,,,,,,,,,,,,77.0,12.0,9.0,1351.0,,,,,,,0.0,3.0,8,282.0
 70) a7-a8B      ,568.0,,,,68.0,,,,836.0,,,,,,,,,,,,,1200.0,,0.0,,,4.0,11.0,,,,,,,,9.0,,8,337.0
130) f2-f4       ,7.0,,1.0,72.0,,767.0,,,,,,,,,,,,,,233.0,,,,,,,258.0,1569.0,,,,,,,,9.0,,8,364.0
 18) Be1-d2      ,,,318.0,572.0,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,148.0,,,0.0,,0.0,,10.0,7,148.0
153) Ne2-d4      ,,,,,,,,,546.0,45.0,0.0,,7.0,,,,,,2.0,,,,,,,,761.0,,,,,,,,,265.0,,7,232.0
131) Na8-c7      ,,200.0,245.0,164.0,,,,248.0,,,852.0,,,1075.0,,1601.0,,,,,,,,,,,,,,,,,,,,,,7,626.0
 78) Qd6xe5      ,,,92.0,385.0,1469.0,,,,,12.0,711.0,,,,,,,,,,,,,,,,128.0,1671.0,,,,,,,,,19.0,7,638.0
184) .. Bf5-g4   ,1268.0,,,956.0,,,,788.0,,123.0,,,1234.0,,1684.0,,,,,,,,,,,,,,,,,,,,,136.0,,7,884.0
 26) Ne2-f4      ,1352.0,,,,,839.0,,,,,883.0,1193.0,,,419.0,,,,,,,,,,1726.0,140.0,,,,,,,,,,,,7,936.0
 91) Be3xc5      ,,,309.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,231.0,,57.0,68.0,,,,,8.0,,6,114.0
204) Bc1-g5      ,18.0,,,,,561.0,114.0,,62.0,,,,,,,,,,,,,,,,413.0,,,,,,,,,,,124.0,,6,215.0
 67) f3-f4       ,,,1123.0,,,,,,226.0,,,,,,,,,,,,,,,,,281.0,56.0,188.0,,,,,,,,60.0,,6,322.0
 68) Qc7-d8      ,,,,,68.0,,,,,,,,632.0,,,,75.0,,,,,,,,241.0,,1233.0,27.0,,,,,,,,,,6,379.0
 57) Nc2-d4      ,6.0,,,,,,,,957.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,5,193.0
 77) Nc4-a5      ,,,,,,,,,,,,,,,,,375.0,,,,,,,226.0,,,2.0,14.0,1292.0,,,,,,,,0.0,5,382.0
  7) Rh4xh1      ,209.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,6.0,,4,54.0
 74) Kb7-c8      ,,,840.0,,,,,,,,,,,,,,,,414.0,,,,,,,,37.0,3.0,,,,,,,,,,4,324.0
 38) Ne4-c3      ,627.0,,,,,,,,,,,,,,966.0,,,,,,,420.0,,,,,,,,,,,,,,81.0,8.0,4,524.0
102) h5xg6       ,,,,,,,,,,706.0,,,,,,,,,,,,,,,,,320.0,465.0,,,,,,,,,,3,497.0
 33) Nf7-d6      ,,,,,,,,,,,,,,,,,,,,,,,,,,,234.0,1694.0,,,,,,,,,,2,964.0
 23) Nf3-h4      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,
